"book_id","specification_id","value"
153,3,"Nhà Sách Minh Thắng"
154,1,"9786043185645"
154,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
155,1,"8935212356411"
155,3,"Đinh Tị"
155,6,"Hiểu Tường"
156,1,"8935244892802"
156,2,"6+"
156,3,"Nhà Xuất Bản Kim Đồng"
156,6,"Thùy An"
156,4,"Tiếng Việt"
157,1,"8935212371667"
157,3,"Đinh Tị"
157,6,"Thành Đạt"
158,1,"8935212371674"
158,3,"Đinh Tị"
158,6,"Thành Đạt"
159,1,"8934974175452"
159,3,"NXB Trẻ"
160,1,"8935095627561"
160,2,"2+"
160,3,"Huy Hoang Bookstore"
160,6,"Giang Hạ"
161,1,"8935212356381"
161,3,"Đinh Tị"
161,6,"Hiểu Tường"
162,1,"8935212352741"
162,3,"Đinh Tị"
162,6,"Thu Trang"
162,4,"Tiếng Việt"
163,1,"9786042265591"
163,2,"6+"
163,3,"Nhà Xuất Bản Kim Đồng"
163,4,"Tiếng Việt"
164,1,"8935212365314"
164,3,"Đinh Tị"
164,6,"Thùy Dương"
165,1,"8935212346665"
165,3,"Đinh Tị"
165,6,"Thu Trang"
166,1,"8935212343107"
166,3,"Đinh Tị"
166,6,"Minh Quyên"
167,1,"8935309503704"
167,3,"Alpha Books"
167,6,"Tú Nga"
168,1,"8935212332866"
168,3,"Đinh Tị"
169,1,"8935352602294"
169,3,"Nhà Xuất Bản Kim Đồng"
169,6,"Hạt Đậu"
169,4,"Tiếng Việt"
170,1,"8935212368797"
170,3,"Đinh Tị"
170,6,"Thu Trang"
171,1,"8935210311580"
171,3,"Tân Việt"
171,6,"Thanh Tú"
172,1,"9786043298352"
172,3,"Phụ Nữ"
172,6,"Nguyễn Việt Long"
172,4,"Tiếng Việt"
173,1,"9786043298406"
173,3,"Phụ Nữ"
173,6,"Nguyễn Thị Quỳnh Giang"
173,4,"Tiếng Việt"
174,1,"8935352614921"
174,2,"3+"
174,3,"Nhà Xuất Bản Kim Đồng"
174,4,"Tiếng Việt"
175,1,"9786043758450"
175,7,"CÔNG TY TNHH TYG"
175,6,"Sommelier Hương Lê"
175,4,"Tiếng Việt"
176,1,"8935246944349"
176,3,"MCBooks"
176,6,"Hồng Vân"
176,4,"Tiếng Việt"
177,1,"8935352616710"
177,3,"Nhà Xuất Bản Kim Đồng"
177,4,"Tiếng Việt"
178,1,"8935246944356"
178,3,"MCBooks"
178,6,"Thu Hiền"
179,1,"8935246944363"
179,3,"MCBooks"
179,6,"Hồng Vân"
180,1,"8935212357999"
180,3,"Đinh Tị"
180,6,"Thu Trang"
181,1,"8935212358002"
181,3,"Đinh Tị"
181,6,"Thu Trang"
182,1,"8935280910683"
182,3,"Thái Hà"
182,6,"Lê Thị Thanh Tâm"
183,1,"8935352622766"
183,2,"5 - 11"
183,3,"Nhà Xuất Bản Kim Đồng"
183,6,"Vũ Thùy An"
184,1,"8935235230804"
184,3,"Nhã Nam"
185,1,"8935212351621"
185,3,"Đinh Tị"
185,6,"Mai Loan"
185,4,"Tiếng Việt"
186,1,"8935235229747"
186,3,"Nhã Nam"
186,6,"Thủy tiên"
187,1,"8935212361934"
187,3,"Đinh Tị"
188,1,"8935212340441"
188,3,"Đinh Tị"
188,6,"Ngọc Linh"
189,1,"8935212340410"
189,2,"5 - 15"
189,3,"Đinh Tị"
189,6,"Ngọc Linh"
190,1,"8935212340397"
190,2,"5 - 15"
190,3,"Đinh Tị"
190,6,"Ngọc Linh"
191,1,"8935212340489"
191,3,"Đinh Tị"
191,6,"Ngọc Linh"
192,1,"8935212340496"
192,2,"5 - 15"
192,3,"Đinh Tị"
192,6,"Ngọc Linh"
193,1,"8935212347037"
193,3,"Đinh Tị"
193,6,"Thu Phong"
194,1,"8935212340380"
194,2,"5 - 15"
194,3,"Đinh Tị"
194,6,"Ngọc Linh"
195,1,"8935212339278"
195,3,"Đinh Tị"
195,6,"Phan Trần Hồng Hạnh"
195,4,"Tiếng Việt"
196,1,"8935212340465"
196,2,"5 - 15"
196,3,"Đinh Tị"
196,6,"Ngọc Linh"
197,1,"8935212340434"
197,3,"Đinh Tị"
197,6,"Ngọc Linh"
198,1,"8935212340502"
198,3,"Đinh Tị"
198,6,"Ngọc Linh"
199,1,"8935212340526"
199,3,"Đinh Tị"
200,1,"8935212340533"
200,3,"Đinh Tị"
200,6,"Ngọc Linh"
201,1,"8935212340540"
201,2,"5 - 15"
201,3,"Đinh Tị"
201,6,"Ngọc Linh"
202,1,"8935212340458"
202,2,"5 - 15"
202,3,"Đinh Tị"
202,6,"Ngọc Linh"
203,1,"8935212340427"
203,3,"Đinh Tị"
203,6,"Ngọc Linh"
204,1,"8935212340403"
204,2,"5 - 15"
204,3,"Đinh Tị"
204,6,"Ngọc Linh"
205,1,"8936071672650-2021"
205,3,"Đông A"
205,6,"Lê Ngân"
205,4,"Tiếng Việt"
206,1,"8935212340373"
206,3,"Đinh Tị"
206,6,"Ngọc Linh"
207,1,"8935212369848"
207,3,"Đinh Tị"
207,6,"Thùy Dương"
208,1,"8935244869118"
208,3,"Nhà Xuất Bản Kim Đồng"
208,6,"Nguyễn Thị Thắm"
208,4,"Tiếng Việt"
209,1,"8935244872606"
209,8,"18/10/2025"
209,3,"Nhà Xuất Bản Kim Đồng"
210,1,"8935244869170"
210,3,"Nhà Xuất Bản Kim Đồng"
210,6,"Nguyễn Thị Thắm"
211,1,"8935244869194"
211,3,"Nhà Xuất Bản Kim Đồng"
211,6,"Nguyễn Kim Dung"
211,4,"Tiếng Việt"
212,1,"8935244869163"
212,3,"Nhà Xuất Bản Kim Đồng"
212,6,"Nguyễn Kim Dung"
212,4,"Tiếng Việt"
213,1,"8935244890594"
213,2,"6+"
213,3,"Nhà Xuất Bản Kim Đồng"
213,6,"Nguyễn Thị Hồng Hà"
213,4,"Tiếng Việt"
214,1,"8935244869125"
214,3,"Nhà Xuất Bản Kim Đồng"
214,6,"Nguyễn Kim Dung"
215,1,"8935244893489"
215,2,"6+"
215,3,"Nhà Xuất Bản Kim Đồng"
215,6,"Nguyễn Thị Hồng Hà"
215,4,"Tiếng Việt"
216,1,"8935244893496"
216,2,"6+"
216,3,"Nhà Xuất Bản Kim Đồng"
216,6,"Cao Thị Hải Bắc"
216,4,"Tiếng Việt"
217,1,"8935244869187"
217,3,"Nhà Xuất Bản Kim Đồng"
217,6,"Nguyễn Thị Thắm"
218,1,"8935352605554"
218,2,"6+"
218,3,"Nhà Xuất Bản Kim Đồng"
218,6,"Nguyễn Thị Hồng Hà"
218,4,"Tiếng Việt"
219,1,"8935244869200"
219,3,"Nhà Xuất Bản Kim Đồng"
219,6,"Nguyễn Thị Thắm"
220,1,"8935244869064"
