"id","code","name","district_id"
1,"00001","Phường Phúc Xá",1
2,"00004","Phường Trúc Bạch",1
3,"00006","Phường Vĩnh Phúc",1
4,"00007","Phường Cống Vị",1
5,"00008","Phường Liễu Giai",1
6,"00013","Phường Quán Thánh",1
7,"00016","Phường Ngọc Hà",1
8,"00019","Phường Điện Biên",1
9,"00022","Phường Đội Cấn",1
10,"00025","Phường Ngọc Khánh",1
11,"00028","Phường Kim Mã",1
12,"00031","Phường Giảng Võ",1
13,"00034","Phường Thành Công",1
14,"00037","Phường Phúc Tân",2
15,"00040","Phường Đồng Xuân",2
16,"00043","Phường Hàng Mã",2
17,"00046","Phường Hàng Buồm",2
18,"00049","Phường Hàng Đào",2
19,"00052","Phường Hàng Bồ",2
20,"00055","Phường Cửa Đông",2
21,"00058","Phường Lý Thái Tổ",2
22,"00061","Phường Hàng Bạc",2
23,"00064","Phường Hàng Gai",2
24,"00067","Phường Chương Dương",2
25,"00070","Phường Hàng Trống",2
26,"00073","Phường Cửa Nam",2
27,"00076","Phường Hàng Bông",2
28,"00079","Phường Tràng Tiền",2
29,"00082","Phường Trần Hưng Đạo",2
30,"00085","Phường Phan Chu Trinh",2
31,"00088","Phường Hàng Bài",2
32,"00091","Phường Phú Thượng",3
33,"00094","Phường Nhật Tân",3
34,"00097","Phường Tứ Liên",3
35,"00100","Phường Quảng An",3
36,"00103","Phường Xuân La",3
37,"00106","Phường Yên Phụ",3
38,"00109","Phường Bưởi",3
39,"00112","Phường Thụy Khuê",3
40,"00115","Phường Thượng Thanh",4
41,"00118","Phường Ngọc Thụy",4
42,"00121","Phường Giang Biên",4
43,"00124","Phường Đức Giang",4
44,"00127","Phường Việt Hưng",4
45,"00130","Phường Gia Thụy",4
46,"00133","Phường Ngọc Lâm",4
47,"00136","Phường Phúc Lợi",4
48,"00139","Phường Bồ Đề",4
49,"00145","Phường Long Biên",4
50,"00148","Phường Thạch Bàn",4
51,"00151","Phường Phúc Đồng",4
52,"00154","Phường Cự Khối",4
53,"00157","Phường Nghĩa Đô",5
54,"00160","Phường Nghĩa Tân",5
55,"00163","Phường Mai Dịch",5
56,"00166","Phường Dịch Vọng",5
57,"00167","Phường Dịch Vọng Hậu",5
58,"00169","Phường Quan Hoa",5
59,"00172","Phường Yên Hoà",5
60,"00175","Phường Trung Hoà",5
61,"00178","Phường Cát Linh",6
62,"00181","Phường Văn Miếu - Quốc Tử Giám",6
63,"00187","Phường Láng Thượng",6
64,"00190","Phường Ô Chợ Dừa",6
65,"00193","Phường Văn Chương",6
66,"00196","Phường Hàng Bột",6
67,"00199","Phường Láng Hạ",6
68,"00202","Phường Khâm Thiên",6
69,"00205","Phường Thổ Quan",6
70,"00208","Phường Nam Đồng",6
71,"00214","Phường Quang Trung",6
72,"00217","Phường Trung Liệt",6
73,"00226","Phường Phương Liên - Trung Tự",6
74,"00229","Phường Kim Liên",6
75,"00232","Phường Phương Mai",6
76,"00235","Phường Thịnh Quang",6
77,"00238","Phường Khương Thượng",6
78,"00241","Phường Nguyễn Du",7
79,"00244","Phường Bạch Đằng",7
80,"00247","Phường Phạm Đình Hổ",7
81,"00256","Phường Lê Đại Hành",7
82,"00259","Phường Đồng Nhân",7
83,"00262","Phường Phố Huế",7
84,"00268","Phường Thanh Lương",7
85,"00271","Phường Thanh Nhàn",7
86,"00277","Phường Bách Khoa",7
87,"00280","Phường Đồng Tâm",7
88,"00283","Phường Vĩnh Tuy",7
89,"00289","Phường Quỳnh Mai",7
90,"00292","Phường Bạch Mai",7
91,"00295","Phường Minh Khai",7
92,"00298","Phường Trương Định",7
93,"00301","Phường Thanh Trì",8
94,"00304","Phường Vĩnh Hưng",8
95,"00307","Phường Định Công",8
96,"00310","Phường Mai Động",8
97,"00313","Phường Tương Mai",8
98,"00316","Phường Đại Kim",8
99,"00319","Phường Tân Mai",8
100,"00322","Phường Hoàng Văn Thụ",8
101,"00325","Phường Giáp Bát",8
102,"00328","Phường Lĩnh Nam",8
103,"00331","Phường Thịnh Liệt",8
104,"00334","Phường Trần Phú",8
105,"00337","Phường Hoàng Liệt",8
106,"00340","Phường Yên Sở",8
107,"00343","Phường Nhân Chính",9
108,"00346","Phường Thượng Đình",9
109,"00349","Phường Khương Trung",9
110,"00352","Phường Khương Mai",9
111,"00355","Phường Thanh Xuân Trung",9
112,"00358","Phường Phương Liệt",9
113,"00364","Phường Khương Đình",9
114,"00367","Phường Thanh Xuân Bắc",9
115,"00373","Phường Hạ Đình",9
116,"00376","Thị trấn Sóc Sơn",10
117,"00379","Xã Bắc Sơn",10
