"id","code","name","province_id"
1,"001","Quận Ba Đình",1
2,"002","Quận Hoàn Kiếm",1
3,"003","Quận Tây Hồ",1
4,"004","Quận Long Biên",1
5,"005","Quận Cầu Giấy",1
6,"006","Quận Đống Đa",1
7,"007","Quận Hai Bà Trưng",1
8,"008","Quận Hoàng Mai",1
9,"009","Quận Thanh Xuân",1
10,"016","Huyện Sóc Sơn",1
11,"017","Huyện Đông Anh",1
12,"018","Huyện Gia Lâm",1
13,"019","Quận Nam Từ Liêm",1
14,"020","Huyện Thanh Trì",1
15,"021","Quận Bắc Từ Liêm",1
16,"250","Huyện Mê Linh",1
17,"268","Quận Hà Đông",1
18,"269","Thị xã Sơn Tây",1
19,"271","Huyện Ba Vì",1
20,"272","Huyện Phúc Thọ",1
21,"273","Huyện Đan Phượng",1
22,"274","Huyện Hoài Đức",1
23,"275","Huyện Quốc Oai",1
24,"276","Huyện Thạch Thất",1
25,"277","Huyện Chương Mỹ",1
26,"278","Huyện Thanh Oai",1
27,"279","Huyện Thường Tín",1
28,"280","Huyện Phú Xuyên",1
29,"281","Huyện Ứng Hòa",1
30,"282","Huyện Mỹ Đức",1
31,"024","Thành phố Hà Giang",2
32,"026","Huyện Đồng Văn",2
33,"027","Huyện Mèo Vạc",2
34,"028","Huyện Yên Minh",2
35,"029","Huyện Quản Bạ",2
36,"030","Huyện Vị Xuyên",2
37,"031","Huyện Bắc Mê",2
38,"032","Huyện Hoàng Su Phì",2
39,"033","Huyện Xín Mần",2
40,"034","Huyện Bắc Quang",2
41,"035","Huyện Quang Bình",2
42,"040","Thành phố Cao Bằng",3
43,"042","Huyện Bảo Lâm",3
44,"043","Huyện Bảo Lạc",3
45,"045","Huyện Hà Quảng",3
46,"047","Huyện Trùng Khánh",3
47,"048","Huyện Hạ Lang",3
48,"049","Huyện Quảng Hòa",3
49,"051","Huyện Hoà An",3
50,"052","Huyện Nguyên Bình",3
51,"053","Huyện Thạch An",3
52,"058","Thành Phố Bắc Kạn",4
53,"060","Huyện Pác Nặm",4
54,"061","Huyện Ba Bể",4
55,"062","Huyện Ngân Sơn",4
56,"063","Huyện Bạch Thông",4
57,"064","Huyện Chợ Đồn",4
58,"065","Huyện Chợ Mới",4
59,"066","Huyện Na Rì",4
60,"070","Thành phố Tuyên Quang",5
61,"071","Huyện Lâm Bình",5
62,"072","Huyện Na Hang",5
63,"073","Huyện Chiêm Hóa",5
64,"074","Huyện Hàm Yên",5
65,"075","Huyện Yên Sơn",5
66,"076","Huyện Sơn Dương",5
67,"080","Thành phố Lào Cai",6
68,"082","Huyện Bát Xát",6
69,"083","Huyện Mường Khương",6
70,"084","Huyện Si Ma Cai",6
71,"085","Huyện Bắc Hà",6
72,"086","Huyện Bảo Thắng",6
73,"087","Huyện Bảo Yên",6
74,"088","Thị xã Sa Pa",6
75,"089","Huyện Văn Bàn",6
76,"094","Thành phố Điện Biên Phủ",7
77,"095","Thị Xã Mường Lay",7
78,"096","Huyện Mường Nhé",7
79,"097","Huyện Mường Chà",7
80,"098","Huyện Tủa Chùa",7
81,"099","Huyện Tuần Giáo",7
82,"100","Huyện Điện Biên",7
83,"101","Huyện Điện Biên Đông",7
84,"102","Huyện Mường Ảng",7
85,"103","Huyện Nậm Pồ",7
86,"105","Thành phố Lai Châu",8
87,"106","Huyện Tam Đường",8
88,"107","Huyện Mường Tè",8
89,"108","Huyện Sìn Hồ",8
90,"109","Huyện Phong Thổ",8
91,"110","Huyện Than Uyên",8
92,"111","Huyện Tân Uyên",8
93,"112","Huyện Nậm Nhùn",8
94,"116","Thành phố Sơn La",9
95,"118","Huyện Quỳnh Nhai",9
96,"119","Huyện Thuận Châu",9
97,"120","Huyện Mường La",9
98,"121","Huyện Bắc Yên",9
99,"122","Huyện Phù Yên",9
100,"123","Thị xã Mộc Châu",9
101,"124","Huyện Yên Châu",9
102,"125","Huyện Mai Sơn",9
103,"126","Huyện Sông Mã",9
104,"127","Huyện Sốp Cộp",9
105,"128","Huyện Vân Hồ",9
106,"132","Thành phố Yên Bái",10
107,"133","Thị xã Nghĩa Lộ",10
108,"135","Huyện Lục Yên",10
109,"136","Huyện Văn Yên",10
110,"137","Huyện Mù Căng Chải",10
111,"138","Huyện Trấn Yên",10
112,"139","Huyện Trạm Tấu",10
113,"140","Huyện Văn Chấn",10
114,"141","Huyện Yên Bình",10
115,"148","Thành phố Hòa Bình",11
116,"150","Huyện Đà Bắc",11
117,"152","Huyện Lương Sơn",11
118,"153","Huyện Kim Bôi",11
119,"154","Huyện Cao Phong",11
120,"155","Huyện Tân Lạc",11
121,"156","Huyện Mai Châu",11
122,"157","Huyện Lạc Sơn",11
123,"158","Huyện Yên Thủy",11
124,"159","Huyện Lạc Thủy",11
125,"164","Thành phố Thái Nguyên",12
126,"165","Thành phố Sông Công",12
127,"167","Huyện Định Hóa",12
128,"168","Huyện Phú Lương",12
129,"169","Huyện Đồng Hỷ",12
130,"170","Huyện Võ Nhai",12
131,"171","Huyện Đại Từ",12
132,"172","Thành phố Phổ Yên",12
133,"173","Huyện Phú Bình",12
134,"178","Thành phố Lạng Sơn",13
135,"180","Huyện Tràng Định",13
136,"181","Huyện Bình Gia",13
137,"182","Huyện Văn Lãng",13
138,"183","Huyện Cao Lộc",13
139,"184","Huyện Văn Quan",13
140,"185","Huyện Bắc Sơn",13
141,"186","Huyện Hữu Lũng",13
142,"187","Huyện Chi Lăng",13
143,"188","Huyện Lộc Bình",13
144,"189","Huyện Đình Lập",13
145,"193","Thành phố Hạ Long",14
146,"194","Thành phố Móng Cái",14
147,"195","Thành phố Cẩm Phả",14
148,"196","Thành phố Uông Bí",14
149,"198","Huyện Bình Liêu",14
